,Unnamed: 0,usage_category,address,property_type,community_name,main_building_ratio,city,parking_space_price,transaction_date,elevator_available,building_age,number_of_land,number_of_building,number_of_parking_space,latitude,longitude,management_org_available,per_ping_calculation_method,note,price_per_ping,detailed_usage_classification,total_area_ping,property_b_l_p_type,district,total_price,total_floors,target_floor,transaction_floors,bedrooms,living_rooms,bathrooms,cor,診所_under_250_m,診所_under_500_m,診所_under_750_m
83,83,商,士林區福國路００９８號１１樓之６#士林區福國路９８號１１樓之６,住宅大樓(11層含以上有電梯),,80.81,A,,2016-12-17,,38.0,1,1,0,25.102432708593184,121.52194667076832,0,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,551957.0,住家用,36.96,房地(土地+建物),A15,20400000,14.0,11.0,1.0,3.0,2.0,2.0,"(25.102432708593184, 121.52194667076832)",15.0,3.0,32.0
84,84,住,士林區磺溪街００８２號六樓#士林區磺溪街８２號六樓,華廈(10層含以下有電梯),璞真米羅,43.43,A,,2016-12-30,,6.0,1,1,2,25.107925732498177,121.52337795997092,0,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,754902.0,住家用,12.16,房地(土地+建物)+車位,A15,9180000,10.0,6.0,1.0,2.0,2.0,3.0,"(25.107925732498177, 121.52337795997092)",8.0,31.0,32.0
85,85,住,士林區社中街２３１巷０１２弄００１３號四樓#士林區社中街２３１巷１２弄１３號四樓,公寓(5樓含以下無電梯),,80.64,A,,2016-12-31,,33.0,5,1,0,25.090927386319176,121.5073739497634,1,總價/總面積,,269993.0,住家用,30.37,房地(土地+建物),A15,8200000,5.0,4.0,1.0,3.0,2.0,2.0,"(25.090927386319176, 121.5073739497634)",2.0,15.0,10.0
86,86,住,士林區德行東路１９０巷００６弄０００２號#士林區德行東路１９０巷６弄２號,公寓(5樓含以下無電梯),,91.07,A,,2016-12-26,,39.0,4,1,0,25.107627287284306,121.53114033826192,1,總價/總面積,,633676.0,住家用,29.98,房地(土地+建物),A15,19000000,4.0,1.0,1.0,3.0,2.0,1.0,"(25.107627287284306, 121.53114033826192)",15.0,12.0,29.0
87,87,住,士林區德行東路１９０巷００６弄０００２號三樓#士林區德行東路１９０巷６弄２號三樓,公寓(5樓含以下無電梯),,91.07,A,,2016-12-21,,39.0,4,1,0,25.107691445822297,121.53087290337768,1,總價/總面積,,500271.0,住家用,29.98,房地(土地+建物),A15,15000000,4.0,3.0,1.0,3.0,2.0,1.0,"(25.107691445822297, 121.53087290337768)",14.0,14.0,28.0
88,88,住,士林區德行東路１９０巷００６弄０００３號二樓#士林區德行東路１９０巷６弄３號二樓,公寓(5樓含以下無電梯),,87.64,A,,2016-12-30,,38.0,1,1,0,25.10760837767339,121.53137822267982,1,總價/總面積,,506635.0,住家用,31.58,房地(土地+建物),A15,16000000,4.0,2.0,1.0,3.0,2.0,1.0,"(25.10760837767339, 121.53137822267982)",15.0,12.0,29.0
89,89,住,士林區德行東路１９０巷００６弄０００６號三樓#士林區德行東路１９０巷６弄６號三樓,公寓(5樓含以下無電梯),,91.07,A,,2016-12-30,,39.0,5,1,0,25.107744501659703,121.53118050571736,1,總價/總面積,,539719.0,住家用,29.64,房地(土地+建物),A15,16000000,4.0,3.0,1.0,3.0,2.0,1.0,"(25.107744501659703, 121.53118050571736)",15.0,12.0,29.0
90,90,住,士林區至誠路二段００３９號四樓#士林區至誠路二段３９號四樓,公寓(5樓含以下無電梯),,83.1,A,,2016-12-23,,34.0,1,1,0,25.10133427210741,121.52875344518404,1,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,592648.0,住家用,33.75,房地(土地+建物),A15,20000000,5.0,4.0,1.0,3.0,2.0,2.0,"(25.10133427210741, 121.52875344518404)",1.0,4.0,38.0
91,91,住,士林區天母東路１０５巷００３８號#士林區天母東路１０５巷３８號,公寓(5樓含以下無電梯),,90.23,A,,2016-12-06,,38.0,2,1,0,25.1208118813842,121.53512418058396,1,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,436744.0,住家用,43.05,房地(土地+建物),A15,18800000,5.0,1.0,1.0,3.0,2.0,2.0,"(25.1208118813842, 121.53512418058396)",1.0,19.0,13.0
92,92,住,士林區天玉里天母西路０８３巷００１４號#士林區天玉里天母西路８３巷１４號,公寓(5樓含以下無電梯),,87.06,A,,2016-12-08,,38.0,1,3,0,25.119077718946635,121.5252500280408,1,總價/總面積,本買賣案件係屬二親等間特殊交易，其交易價格可能異於市場正常交易價格。親友、員工或其他特殊關係間之交易。;,334846.0,住家用,85.5,房地(土地+建物),A15,28630000,5.0,1.0,1.0,3.0,2.0,2.0,"(25.119077718946635, 121.5252500280408)",12.0,15.0,27.0
93,93,住,士林區中社路一段０１１巷００８９號二樓#士林區中社路一段１１巷８９號二樓,公寓(5樓含以下無電梯),,100.0,A,,2016-12-22,,41.0,1,1,0,25.10998349770424,121.56297904711217,1,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,154536.0,住家用,31.38,房地(土地+建物),A15,4850000,4.0,2.0,1.0,3.0,2.0,2.0,"(25.10998349770424, 121.56297904711217)",0.0,0.0,0.0
94,94,住,士林區中正路３９９巷００１弄０００２號３樓、３９９#士林區中正路３９９巷１弄２號３樓、３９９巷３號３樓,公寓(5樓含以下無電梯),,100.0,A,,2016-12-08,,42.0,2,2,0,25.09365878744702,121.52157235854244,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,403322.0,住家用,40.91,房地(土地+建物),A15,16500000,4.0,3.0,1.0,5.0,2.0,2.0,"(25.09365878744702, 121.52157235854244)",5.0,39.0,31.0
95,95,其他,士林區菁山路０９９巷００２９號#士林區菁山路９９巷２９號,公寓(5樓含以下無電梯),,61.19,A,,2016-12-15,,22.0,2,1,0,25.14598203785791,121.5522934210285,1,總價/總面積,,474099.0,住家用,168.74,房地(土地+建物),A15,80000000,2.0,1.0,2.0,6.0,3.0,4.0,"(25.14598203785791, 121.5522934210285)",0.0,0.0,0.0
96,96,住,士林區德行東路０１８４號#士林區德行東路１８４號,公寓(5樓含以下無電梯),,93.07,A,,2016-12-30,,40.0,1,1,0,25.10847660792752,121.53094570109276,1,總價/總面積,,583154.0,住家用,21.44,房地(土地+建物),A15,12500000,4.0,2.0,1.0,2.0,2.0,1.0,"(25.10847660792752, 121.53094570109276)",13.0,19.0,28.0
97,97,住,士林區天母北路０２８巷００３９號三樓之５#士林區天母北路２８巷３９號三樓之５,華廈(10層含以下有電梯),天母小西華,36.45,A,,2016-12-23,,9.0,1,2,1,25.11925771327323,121.52540945664502,0,總價/總面積,,726509.0,住家用,15.48,房地(土地+建物)+車位,A15,11250000,9.0,3.0,1.0,1.0,1.0,1.0,"(25.11925771327323, 121.52540945664502)",13.0,15.0,29.0
98,98,住,士林區社子街０６３巷００２２號#士林區社子街６３巷２２號,公寓(5樓含以下無電梯),,100.0,A,,2016-12-28,,41.0,1,1,0,25.088221217528435,121.50671839944884,1,總價/總面積,,600916.0,商業用,26.63,房地(土地+建物),A15,16000000,4.0,1.0,1.0,,,,"(25.088221217528435, 121.50671839944884)",13.0,12.0,12.0
99,99,住,士林區福港街０１８巷００１５之２號５樓#士林區福港街１８巷１５之２號５樓,公寓(5樓含以下無電梯),,66.45,A,,2016-12-20,,32.0,1,1,0,25.09069253315644,121.51786189785864,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,331983.0,住家用,39.16,房地(土地+建物),A15,13000000,5.0,5.0,1.0,4.0,2.0,1.0,"(25.09069253315644, 121.51786189785864)",5.0,13.0,14.0
